Type,Classify,Stratify,Parameter,Method,PT inj_WT_B1_6OH_N1,PT inj_WT_B1_6OH_N2,PT inj_WT_B1_6OH_N3,PT inj_WT_B1_6OH_N4(1),PT inj_WT_B1_6OH_N5,PT inj_WT_B1_6OH_N6,PT inj_WT_B1_6OH_N7(2),PT inj_WT_B1_veh_N1,PT inj_WT_B1_veh_N2,PT inj_WT_B1_veh_N3(3),PT inj_WT_B1_veh_N4(1),PT inj_WT_B1_veh_N5,PT inj_WT_B1_veh_N6
step,,,accel,std,1.1792772564443073,5.284076594577491,2.388088447460956,1.447155664067047,1.5830743567637626,1.9010990583819052,1.5146206349966485,2.3733449181002366,3.040192047023868,1.5150833309014493,2.409129970021424,1.5728878035606804,2.3739667616110185
step,,,accel,max,9.732853924855775,48.833580472148064,26.580225770457112,11.422162857480547,14.993398380253101,19.569750880379893,14.60287974225737,27.239780952482178,29.43531043584403,9.490619773355025,36.97574208249391,13.390371464496882,22.95583733037132
step,,,step dur,sum,73.88000000000001,72.51,75.97,73.82,72.10999999999999,76.75,71.93,74.71000000000001,79.75999999999999,74.2,80.15,78.72,75.27000000000001
step,,,step dur,mean,0.41740112994350287,0.6144915254237289,0.4040957446808511,0.5091034482758621,0.5187769784172661,0.3351528384279476,0.5575968992248063,0.4473652694610779,0.3091472868217054,0.5416058394160584,0.32318548387096774,0.2723875432525952,0.4589634146341464
step,,,step dur,std,0.18772871686313633,0.18282492422812793,0.12501008037634073,0.20872934775212332,0.1683787157865694,0.1535703686161754,0.21591656082920105,0.2117517402748202,0.13672108566341756,0.17607332019161095,0.12827386358852244,0.1196820526778328,0.12944723871274597
step,,,step dur,max,0.93,1.01,0.73,1.13,1.26,0.85,1.12,1.06,1.09,1.07,0.9,0.81,1.06
step,,,turn angle,sum,84.55688510329352,105.8398268958854,102.40231766113361,72.75834066498074,75.13298674256667,100.05991667616428,77.47706177089614,130.1402688982007,104.40710802254324,105.91686399594485,101.07922714529442,93.36752656362015,90.32361541178943
step,,,turn angle,mean,0.549070682488919,0.9046139050930375,0.5720799869337073,0.5349877990072113,0.5484159616245743,0.5350797683217341,0.6456421814241345,0.8793261412040588,0.4878836823483329,0.7963673984657508,0.5615512619183024,0.471553164462728,0.5575531815542557
step,,,turn angle,std,0.49674168773364114,0.7416402920617094,0.6129873321340039,0.42848712752023194,0.3629822647794187,0.529921318491413,0.38014258595127565,0.7643003364372389,0.5854487597101138,0.47816638336655004,0.9618757303787058,0.5711921207838858,0.4635741118234859
step,,,turn angle,max,2.594306435152588,5.590771816681816,3.047852099973598,2.07191323078224,2.6449813491307745,2.5909456555794748,2.0368937768593813,4.704521308786787,6.03297107350702,2.60971750180531,9.631034231554121,5.955857905119231,2.721171546875194
